Introduction,Cluster
"TheJapan women's national under-18 and under-19 basketball teamis a nationalbasketballteam ofJapan, administered by theJapan  Basketball Association.[1][2]It represents the country in international under-18 and under-19 women's basketball competitions. At the2019 FIBA Under-19 Women's Basketball World Cup, Japan finished 8th out of 16 overall. The team displayed some strong showings including its game against eventual bronze medalistSpain, where Japan won two of the four quarters.[3]",9
"The1953 Coronation Honourswere appointments by QueenElizabeth IItovarious orders and honourson the occasion ofher coronationon 2 June 1953. The honours were published inThe London Gazetteon 1 June 1953.[1][2][3] The recipients of honours are displayed here as they were styled before their new honour. They are arranged by honour, with classes (Knight, Knight Grand Cross,etc.) and then divisions (Military, Civil,etc.) as appropriate.",-1
"Bangagouis a town in theBoussouma DepartmentofBoulgou Provincein south-easternBurkina Faso. As of 2005, the town has a population of 1544.[1]",-1
"Brevoxathresis a genus ofbeetlesin the familyCerambycidae, containing the following species:[1]",0
"Kastrophylax(Greek:καστροφύλαξ, fortress guard or fortress warden) was a lateByzantinelocal official who served as the assistant of thekephale(provincial governor) in maintaining the defense of a fortified city (kastron) and its guard service.",-1
Jacopo di Cione(c. 1325 – c. 1399) was anItalianGothicperiod painter in theRepublic of Florence.,-1
"Let's Turn Back the Years is a song written and originally recorded byHank WilliamsforMGM Records. By May 1952, Hank Williams was the biggest country music star in the world.  Despite his binge drinking and no shows, he appeared to be invincible on the country charts and had become the first country songwriter to make significant inroads into the pop charts.  Baby, We're Really in Love was in the charts for fifteen weeks starting in December 1951, and it was followed in March 1952 by Honky Tonk Blues, which peaked at #2 and stayed twelve weeks on the charts.  Honky Tonk Blues was followed in May by Half as Much, which peaked at #2 and stayed around for four months.  Cold, Cold Heart was still on the charts as 1952 dawned, and Hey Good Lookin' had yet to drop from heavy rotation.[3]However, Williams' personal life was heading in the other direction; much to his chagrin, he would be legally divorced from his wifeAudrey Williamson July 10, 1952.  Let's Turn Back the Years, which served as the B-side toCurley Williams' Half as Much, may have been his final plea to the love of his life to return to happier times.  The backing on the December 1951 session is believed to have beenDon Helms(steel guitar),Jerry Rivers(fiddle), possibly Sam Pruett (electric guitar), probablyJack Shook(acoustic guitar), andErnie Newtonor Howard Watts (bass).[4]Fred Roseproduced the session.",-1
"Joseph Lewis French(1858–1936) was a novelist, editor, poet and newspaper man.[1]TheNew York Timesnoted in 1925 that he may be the most industriousanthologistof his time.[2]He is known for his popular themed collections, and published more than twenty-five books between 1918 and his death in 1936.[3]He initiated two magazines,The New West(c. 1887) andThe Wave(c. 1890).[3]Afterward he worked for newspapers across the country contributing poetry and articles.[3]He struggled financially, and during 1927 theNew York Graphic, a dailytabloid, published an autobiographical article they convinced him to write, entitled I'm Starving – Yet I'm inWho's Whoas the Author of 27 Famous Books.[3]",-1
Theusual beginningis the series of prayers with which mostdivine servicesbegin in theEastern Orthodox Churchand thoseEastern Catholic Churcheswhich follow theByzantine Rite.,-1
"Thandel(lit.'Captainof the boat')[5]is a 2025 IndianTelugu-languageromanticaction thriller film[6]written and directed byChandoo Mondeti.[7]Produced byBunny VasuunderGeetha Arts, and starringNaga ChaitanyaandSai Pallavi.[8]The film is based on a real-life incident that occurred in 2018, depicting how Pakistani forces captured a fisherman fromSrikakulamin international waters.[9][10] Thandelwas initially scheduled to be released in January 2025, on the occasion ofSankranthi, but was postponed. The film was released in theatres on 7 February 2025 to mixed reviews from critics, who praised the lead cast's performance, visuals and soundtrack, while the narration received criticism. The film has grossed over₹100 croresworldwide and is the fourthhighest-grossing Telugu film of 2025.",-1
"Aik Thi Raniais a 2017Pakistanidrama serial directed by Abdullah Badini, produced by7th Sky Entertainment, and written by Madiha Shahid. The drama stars Sumbul Iqbal and Syed Jibran in lead roles, and was first aired on 3 November onGeo Entertainment, where it aired every Friday at 8:00 P.M.[1][2][3][4][5]",-1
